time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
1.192752,-0.0345,-0.0977,0.9975,0.0437,0.0156,0.0337,-0.0319,0.0004,-0.0513,2.25,-42.975,-11.325,,adl
1.202534,-0.0345,-0.0977,0.9975,0.0437,0.0156,0.0337,-0.0319,0.0004,-0.0513,1.7813,-43.4438,-11.5125,,adl
1.211795,-0.0345,-0.0977,0.9975,-0.0329,0.0126,0.1232,-0.0319,0.0004,-0.0513,1.7813,-43.4438,-11.5125,,adl
1.230189,-0.0474,-0.1035,1.007,-0.0329,0.0126,0.1232,-0.0319,0.0004,-0.0513,1.7813,-43.4438,-11.5125,,adl
1.231719,-0.0474,-0.1035,1.007,-0.0184,-0.0101,0.1315,-0.0319,0.0004,-0.0513,1.7813,-43.4438,-11.5125,,adl
1.249062,-0.0474,-0.1035,1.007,-0.0184,-0.0101,0.1315,-0.0418,0.0016,-0.0195,1.7813,-43.4438,-11.5125,,adl
1.250209,-0.0474,-0.1035,1.007,-0.1168,-0.0321,0.1373,-0.0418,0.0016,-0.0195,1.7813,-43.4438,-11.5125,,adl
1.263325,-0.0474,-0.1035,1.007,-0.1168,-0.0321,0.1373,-0.0418,0.0016,-0.0195,2.55,-43.1438,-11.85,,adl
1.268981,-0.0474,-0.1035,1.007,-0.1186,-0.0373,0.1312,-0.0418,0.0016,-0.0195,2.55,-43.1438,-11.85,,adl
1.277537,-0.0592,-0.1079,1.0058,-0.1186,-0.0373,0.1312,-0.0418,0.0016,-0.0195,2.55,-43.1438,-11.85,,adl
1.288238,-0.0592,-0.1079,1.0058,-0.1191,-0.0366,0.1443,-0.0418,0.0016,-0.0195,2.55,-43.1438,-11.85,,adl
1.308236,-0.0592,-0.1079,1.0058,-0.05,-0.0261,0.193,-0.0418,0.0016,-0.0195,2.55,-43.1438,-11.85,,adl
1.311791,-0.0592,-0.1079,1.0058,-0.05,-0.0261,0.193,0.0022,0.0371,0.0378,2.55,-43.1438,-11.85,,adl
1.323491,-0.0592,-0.1079,1.0058,-0.05,-0.0261,0.193,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
1.324871,-0.0504,-0.1091,1.0044,-0.05,-0.0261,0.193,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
